run_tag,lambda_gb,g2,selfinteraction,a_mg,b_mg,chi0,coupling,perturbation,width,T,num_points_t,r_max,min_dr,max_dr,num_grid_points,wall_time_s,solver_success,t_crash,solver_message,has_solution,has_diagnostics,has_eft_diagnostics,size_bytes
lgb2.0_mu0.08_a0.2_b0.4_amp-0.02_R3_dr0.0625_quadratic_10,2.0,,0.08,0.2,0.4,0.15,quadratic_10,-0.02,3,800.0,1000,150,0.0625,2,216,10113.711694002151,True,-1.0,The solver successfully reached the end of the integration interval.,True,True,False,27780883
lgb2.0_mu0.08_a0.2_b0.4_amp-0.02_R3_dr0.0625_quadratic_50,2.0,,0.08,0.2,0.4,0.15,quadratic_50,-0.02,3,800.0,1000,150,0.0625,2,216,9905.678091526031,True,-1.0,The solver successfully reached the end of the integration interval.,True,True,False,27780883
lgb2.0_mu0.08_a0.2_b0.4_amp-0.05_R3_dr0.0625_quadratic_0,2.0,,0.08,0.2,0.4,0.15,quadratic_0,-0.05,3,800.0,1000,150,0.0625,2,216,9188.071083784103,True,-1.0,The solver successfully reached the end of the integration interval.,True,True,False,31237377
lgb2.0_mu0.08_a0.2_b0.4_amp-0.05_R3_dr0.0625_quadratic_50,2.0,,0.08,0.2,0.4,0.15,quadratic_50,-0.05,3,800.0,1000,150,0.0625,2,216,9907.937266588211,True,-1.0,The solver successfully reached the end of the integration interval.,True,True,False,27780883
lgb20.0_mu0.04_a0.2_b0.4_amp-0.02_R3_dr0.0625,20.0,,0.04,0.2,0.4,0.15,quadratic,-0.02,3,800.0,1000,150,0.0625,2,216,526.319696187973,False,39.68273797407656,Required step size is less than spacing between numbers.,True,True,False,1401223
lgb20.0_mu0.06_a0.2_b0.4_amp-0.02_R3_dr0.0625,20.0,,0.06,0.2,0.4,0.15,quadratic,-0.02,3,800.0,1000,150,0.0625,2,216,9714.785960435867,True,-1.0,The solver successfully reached the end of the integration interval.,True,True,False,27780871
lgb20.0_mu0.08_a0.2_b0.4_amp-0.02_R3_dr0.0625,20.0,,0.08,0.2,0.4,0.15,quadratic,-0.02,3,1600.0,2000,150,0.0625,2,216,18655.82682609558,True,-1.0,The solver successfully reached the end of the integration interval.,True,True,False,55548871
lgb20.0_mu0.08_a0.2_b0.4_amp-0.02_R3_dr0.0625_quadratic_0,20.0,,0.08,0.2,0.4,0.15,quadratic_0,-0.02,3,800.0,1000,150,0.0625,2,216,447.26494812965393,False,3.4335658070619037,Required step size is less than spacing between numbers.,True,True,False,169449
lgb20.0_mu0.08_a0.2_b0.4_amp-0.02_R3_dr0.0625_quadratic_10,20.0,,0.08,0.2,0.4,0.15,quadratic_10,-0.02,3,800.0,1000,150,0.0625,2,216,239.58077239990234,False,3.2000372523281158,Required step size is less than spacing between numbers.,True,True,False,151675
lgb20_mu0.08_a0_b0_amp-0.02_R3_dr0.0416667_quadratic_0_g20,20.0,0.0,0.08,0.0,0.0,0.15,quadratic_0,-0.02,3.0,800.0,1000,150,0.041666666666666664,2,220,223.67524242401123,False,3.2833302872960832,Required step size is less than spacing between numbers.,True,True,False,172637
